id,place_id,event_name,event_schedule,notes
1,4,Annual Heritage Festival at Tirumala Venkateswara Temple,Seasonal - verify local tourism calendar,NULL
2,21,Annual Heritage Festival at Rann of Kutch,Seasonal - verify local tourism calendar,NULL
3,25,Annual Heritage Festival at Girnar Hill & Ashokan Edicts,Seasonal - verify local tourism calendar,NULL
4,30,"Annual Heritage Festival at The Ridge & Mall Road, Shimla",Seasonal - verify local tourism calendar,NULL
5,37,Annual Heritage Festival at Mysore Palace,Seasonal - verify local tourism calendar,NULL
6,39,Annual Heritage Festival at Lalbagh Botanical Garden,Seasonal - verify local tourism calendar,NULL
7,45,Annual Heritage Festival at Periyar Tiger Reserve,Seasonal - verify local tourism calendar,NULL
8,49,Annual Heritage Festival at Bandhavgarh National Park,Seasonal - verify local tourism calendar,NULL
9,55,Annual Heritage Festival at Elephanta Caves,Seasonal - verify local tourism calendar,NULL
10,80,Annual Heritage Festival at Charminar,Seasonal - verify local tourism calendar,NULL
11,96,Annual Heritage Festival at Qutub Minar,Seasonal - verify local tourism calendar,NULL
12,99,Annual Heritage Festival at Dal Lake,Seasonal - verify local tourism calendar,NULL
13,102,"Annual Heritage Festival at French Quarter, Puducherry",Seasonal - verify local tourism calendar,NULL
